areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
overview,United Kingdom,K02000001,2021-06-18,7,127976
overview,United Kingdom,K02000001,2021-06-17,7,127969
overview,United Kingdom,K02000001,2021-06-16,9,127962
overview,United Kingdom,K02000001,2021-06-15,15,127953
overview,United Kingdom,K02000001,2021-06-14,8,127938
overview,United Kingdom,K02000001,2021-06-13,9,127930
overview,United Kingdom,K02000001,2021-06-12,10,127921
overview,United Kingdom,K02000001,2021-06-11,6,127911
overview,United Kingdom,K02000001,2021-06-10,10,127905
overview,United Kingdom,K02000001,2021-06-09,7,127895
overview,United Kingdom,K02000001,2021-06-08,8,127888
overview,United Kingdom,K02000001,2021-06-07,5,127880
overview,United Kingdom,K02000001,2021-06-06,6,127875
overview,United Kingdom,K02000001,2021-06-05,5,127869
overview,United Kingdom,K02000001,2021-06-04,9,127864
overview,United Kingdom,K02000001,2021-06-03,12,127855
overview,United Kingdom,K02000001,2021-06-02,10,127843
overview,United Kingdom,K02000001,2021-06-01,4,127833
overview,United Kingdom,K02000001,2021-05-31,7,127829
overview,United Kingdom,K02000001,2021-05-30,8,127822
overview,United Kingdom,K02000001,2021-05-29,7,127814
overview,United Kingdom,K02000001,2021-05-28,8,127807
overview,United Kingdom,K02000001,2021-05-27,8,127799
overview,United Kingdom,K02000001,2021-05-26,12,127791
overview,United Kingdom,K02000001,2021-05-25,4,127779
overview,United Kingdom,K02000001,2021-05-24,9,127775
overview,United Kingdom,K02000001,2021-05-23,7,127766
overview,United Kingdom,K02000001,2021-05-22,5,127759
overview,United Kingdom,K02000001,2021-05-21,6,127754
overview,United Kingdom,K02000001,2021-05-20,5,127748
overview,United Kingdom,K02000001,2021-05-19,5,127743
overview,United Kingdom,K02000001,2021-05-18,6,127738
overview,United Kingdom,K02000001,2021-05-17,7,127732
overview,United Kingdom,K02000001,2021-05-16,8,127725
overview,United Kingdom,K02000001,2021-05-15,7,127717
overview,United Kingdom,K02000001,2021-05-14,6,127710
overview,United Kingdom,K02000001,2021-05-13,4,127704
overview,United Kingdom,K02000001,2021-05-12,11,127700
overview,United Kingdom,K02000001,2021-05-11,14,127689
overview,United Kingdom,K02000001,2021-05-10,8,127675
overview,United Kingdom,K02000001,2021-05-09,9,127667
overview,United Kingdom,K02000001,2021-05-08,8,127658
overview,United Kingdom,K02000001,2021-05-07,10,127650
overview,United Kingdom,K02000001,2021-05-06,10,127640
overview,United Kingdom,K02000001,2021-05-05,12,127630
overview,United Kingdom,K02000001,2021-05-04,10,127618
overview,United Kingdom,K02000001,2021-05-03,8,127608
overview,United Kingdom,K02000001,2021-05-02,12,127600
overview,United Kingdom,K02000001,2021-05-01,8,127588
overview,United Kingdom,K02000001,2021-04-30,8,127580
overview,United Kingdom,K02000001,2021-04-29,13,127572
overview,United Kingdom,K02000001,2021-04-28,14,127559
overview,United Kingdom,K02000001,2021-04-27,12,127545
overview,United Kingdom,K02000001,2021-04-26,12,127533
overview,United Kingdom,K02000001,2021-04-25,15,127521
overview,United Kingdom,K02000001,2021-04-24,8,127506
overview,United Kingdom,K02000001,2021-04-23,21,127498
overview,United Kingdom,K02000001,2021-04-22,16,127477
overview,United Kingdom,K02000001,2021-04-21,24,127461
overview,United Kingdom,K02000001,2021-04-20,19,127437
overview,United Kingdom,K02000001,2021-04-19,18,127418
overview,United Kingdom,K02000001,2021-04-18,16,127400
overview,United Kingdom,K02000001,2021-04-17,21,127384
overview,United Kingdom,K02000001,2021-04-16,17,127363
overview,United Kingdom,K02000001,2021-04-15,21,127346
overview,United Kingdom,K02000001,2021-04-14,17,127325
overview,United Kingdom,K02000001,2021-04-13,20,127308
overview,United Kingdom,K02000001,2021-04-12,27,127288
overview,United Kingdom,K02000001,2021-04-11,22,127261
overview,United Kingdom,K02000001,2021-04-10,24,127239
overview,United Kingdom,K02000001,2021-04-09,23,127215
overview,United Kingdom,K02000001,2021-04-08,35,127192
overview,United Kingdom,K02000001,2021-04-07,29,127157
overview,United Kingdom,K02000001,2021-04-06,28,127128
overview,United Kingdom,K02000001,2021-04-05,17,127100
overview,United Kingdom,K02000001,2021-04-04,25,127083
overview,United Kingdom,K02000001,2021-04-03,31,127058
overview,United Kingdom,K02000001,2021-04-02,28,127027
overview,United Kingdom,K02000001,2021-04-01,31,126999
overview,United Kingdom,K02000001,2021-03-31,38,126968
overview,United Kingdom,K02000001,2021-03-30,42,126930
overview,United Kingdom,K02000001,2021-03-29,34,126888
overview,United Kingdom,K02000001,2021-03-28,34,126854
overview,United Kingdom,K02000001,2021-03-27,36,126820
overview,United Kingdom,K02000001,2021-03-26,48,126784
overview,United Kingdom,K02000001,2021-03-25,45,126736
overview,United Kingdom,K02000001,2021-03-24,40,126691
